"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"29","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 09:46:08,FALSE,NA,"978931234557644800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michell81852028",310,TRUE,FALSE,NA,NA
"30","RT @JonnyPilot: Over 1.5 million views in 24hrs!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00BB><U+00AB>Finlay’s #BAmagic - link below or on #britishairways Facebook page.

<ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> https://t.co/F…",FALSE,0,NA,2018-03-28 09:38:04,FALSE,NA,"978929204497649664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeccaForman",1,TRUE,FALSE,NA,NA
"31","If you’re at the T5 baggage rest area then why not come and speak to our friendly staff about Plane Saver!<U+2705>… https://t.co/PWRNjJsF8F",FALSE,1,NA,2018-03-28 09:30:20,TRUE,NA,"978927258558746624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","planesavercu",0,FALSE,FALSE,NA,NA
"32","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 09:25:57,FALSE,NA,"978926155117027333",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pamelagriffiths",310,TRUE,FALSE,NA,NA
"33","#BritishAirways I am utterly bemused by your website! I want to book flights but can’t! I keep being told when I co… https://t.co/GmEoj00kSx",FALSE,0,NA,2018-03-28 09:23:31,TRUE,NA,"978925542555770880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KateHone2017",0,FALSE,FALSE,NA,NA
"34","#britishairways",FALSE,0,NA,2018-03-28 09:20:51,FALSE,NA,"978924870548574208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KateHone2017",0,FALSE,FALSE,NA,NA
"35","We’re coming for you DC! <U+2708><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F> #washingtondc #nextstop #britishairways https://t.co/8Lm9iSn3tI",FALSE,1,NA,2018-03-28 09:00:43,FALSE,NA,"978919802822709248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lockthemap",0,FALSE,FALSE,NA,NA
"36","@British_Airways @ LDDU #ZracnaLukaDubrovnik #AirbusA319 #BritishAirways #DubrovnikAirport #Aviation #Croatia https://t.co/Y5QCVd9Iku",FALSE,0,"British_Airways",2018-03-28 08:48:09,FALSE,NA,"978916642838269952","18332190","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Antonov50026062",0,FALSE,FALSE,NA,NA
"37","Was looking forward to flying with @britishairways Our flight was suppose to leave 5 minutes early. We have now bee… https://t.co/KbaYMsyHSz",FALSE,0,NA,2018-03-28 08:22:06,TRUE,NA,"978910086969069568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CescoGD",0,FALSE,FALSE,NA,NA
"38","Over 1.5 million views in 24hrs!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00BB><U+00AB>Finlay’s #BAmagic - link below or on #britishairways Facebook page.

<ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>… https://t.co/8rReNDmcmT",FALSE,32,NA,2018-03-28 07:36:28,TRUE,NA,"978898600444006402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonnyPilot",1,FALSE,FALSE,NA,NA
"39","@resolvercouk @British_Airways refusing to reply though app and sending me direct very abrupt messages refusing to… https://t.co/8kCyXOuxSp",FALSE,1,"resolvercouk",2018-03-28 07:34:25,TRUE,NA,"978898086587174917","501977432","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaddyHamilton",0,FALSE,FALSE,NA,NA
"40","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 07:17:50,FALSE,NA,"978893912071966722",NA,"<a href=""http://www.google.com"" rel=""nofollow"">TestBot1.2</a>","JohnHam47330122",310,TRUE,FALSE,NA,NA
"41","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 07:17:15,FALSE,NA,"978893764923183104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","narna1549",310,TRUE,FALSE,NA,NA
"42","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 07:10:09,FALSE,NA,"978891979244392448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LynnCo77",310,TRUE,FALSE,NA,NA
"43","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 07:05:47,FALSE,NA,"978890879112040451",NA,"<a href=""https://twitaculous.com/"" rel=""nofollow"">Twitaculous - Win Stuff!</a>","DaisyBu68941134",310,TRUE,FALSE,NA,NA
"44","RT @alalwan86: Soon i am going to tweet pictures from all communication with cleartrip to show how they are trying to take our money! #IATA…",FALSE,0,NA,2018-03-28 06:30:07,FALSE,NA,"978881903762780160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alalwan86",1,TRUE,FALSE,NA,NA
"45","RT @alalwan86: #cleartrip wants to charge me 55 USD to change title! While such change free from the airline.
#IATA #Emirates #britishairwa…",FALSE,0,NA,2018-03-28 06:30:03,FALSE,NA,"978881889988640768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alalwan86",1,TRUE,FALSE,NA,NA
